 ticket2,2020-03-24,correo1@gmail.com,servicio tecnico
 ticket3,2020-03-25,correo2@gmail.com,servicio al cliente
 ticket4,2020-03-26,correo3@gmail.com,servicio de compras
 ticket5,2020-03-27,correo4@gmail.com,servicio tecnico
 ticket6,2020-03-28,correo5@gmail.com,servicio tecnico
 ticket7,2020-03-29,correo6@gmail.com,servicio al cliente
 ticket8,2020-03-30,correo7@gmail.com,servicio de compras
 ticket9,2020-03-31,correo8@gmail.com,servicio tecnico
 ticket10,2020-04-01,correo9@gmail.com,servicio tecnico
 ticket11,2020-04-02,correo10@gmail.com,servicio al cliente
 ticket12,2020-04-03,correo1@gmail.com,servicio de compras
 ticket13,2020-04-04,correo2@gmail.com,servicio tecnico
 ticket14,2020-04-05,correo3@gmail.com,servicio tecnico
 ticket15,2020-04-06,correo4@gmail.com,servicio al cliente
 ticket16,2020-04-07,correo5@gmail.com,servicio de compras
 ticket17,2020-04-08,correo6@gmail.com,servicio tecnico
 ticket18,2020-04-09,correo7@gmail.com,servicio tecnico
 ticket19,2020-04-10,correo8@gmail.com,servicio al cliente
 ticket20,2020-04-11,correo9@gmail.com,servicio de compras
 ticket21,2020-04-12,correo10@gmail.com,servicio tecnico
 ticket22,2020-04-13,correo1@gmail.com,servicio tecnico
 ticket23,2020-04-14,correo2@gmail.com,servicio al cliente
 ticket24,2020-04-15,correo3@gmail.com,servicio de compras
 ticket25,2020-04-16,correo4@gmail.com,servicio tecnico
 ticket26,2020-04-17,correo5@gmail.com,servicio tecnico
 ticket27,2020-04-18,correo6@gmail.com,servicio al cliente
 ticket28,2020-04-19,correo7@gmail.com,servicio de compras
 ticket29,2020-04-20,correo8@gmail.com,servicio tecnico
 ticket30,2020-04-21,correo9@gmail.com,servicio tecnico
 ticket31,2020-04-22,correo10@gmail.com,servicio al cliente
 ticket32,2020-04-23,correo1@gmail.com,servicio de compras
 ticket33,2020-04-24,correo2@gmail.com,servicio tecnico
 ticket34,2020-04-25,correo3@gmail.com,servicio tecnico
 ticket35,2020-04-26,correo4@gmail.com,servicio al cliente
 ticket36,2020-04-27,correo5@gmail.com,servicio de compras
 ticket37,2020-04-28,correo6@gmail.com,servicio tecnico
 ticket38,2020-04-29,correo7@gmail.com,servicio tecnico
 ticket39,2020-04-30,correo8@gmail.com,servicio al cliente
 ticket40,2020-05-01,correo9@gmail.com,servicio de compras
 ticket41,2020-05-02,correo10@gmail.com,servicio tecnico
 ticket42,2020-05-03,correo1@gmail.com,servicio tecnico
 ticket43,2020-05-04,correo2@gmail.com,servicio al cliente
 ticket44,2020-05-05,correo3@gmail.com,servicio de compras
 ticket45,2020-05-06,correo4@gmail.com,servicio tecnico
 ticket46,2020-05-07,correo5@gmail.com,servicio tecnico
 ticket47,2020-05-08,correo6@gmail.com,servicio al cliente
 ticket48,2020-05-09,correo7@gmail.com,servicio de compras
 ticket49,2020-05-10,correo8@gmail.com,servicio tecnico
 ticket50,2020-05-11,correo9@gmail.com,servicio tecnico
 ticket51,2020-05-12,correo10@gmail.com,servicio al cliente
 ticket52,2020-05-13,correo1@gmail.com,servicio de compras
 ticket53,2020-05-14,correo2@gmail.com,servicio tecnico
 ticket54,2020-05-15,correo3@gmail.com,servicio tecnico
 ticket55,2020-05-16,correo4@gmail.com,servicio al cliente
 ticket56,2020-05-17,correo5@gmail.com,servicio de compras
 ticket57,2020-05-18,correo6@gmail.com,servicio tecnico
 ticket58,2020-05-19,correo7@gmail.com,servicio tecnico
 ticket59,2020-05-20,correo8@gmail.com,servicio al cliente
 ticket60,2020-05-21,correo9@gmail.com,servicio de compras
 ticket61,2020-05-22,correo10@gmail.com,servicio tecnico
 ticket62,2020-05-23,correo1@gmail.com,servicio tecnico
 ticket63,2020-05-24,correo2@gmail.com,servicio al cliente
 ticket64,2020-05-25,correo3@gmail.com,servicio de compras
 ticket65,2020-05-26,correo4@gmail.com,servicio tecnico
 ticket66,2020-05-27,correo5@gmail.com,servicio tecnico
 ticket67,2020-05-28,correo6@gmail.com,servicio al cliente
 ticket68,2020-05-29,correo7@gmail.com,servicio de compras
 ticket69,2020-05-30,correo8@gmail.com,servicio tecnico
 ticket70,2020-05-31,correo9@gmail.com,servicio tecnico
 ticket71,2020-06-01,correo10@gmail.com,servicio al cliente
 ticket72,2020-06-02,correo1@gmail.com,servicio de compras
 ticket73,2020-06-03,correo2@gmail.com,servicio tecnico
